Content,Label
点太不耐用了，几分钟就没电了,0
质量不好，退色，戴了一个月,1
超喜欢?！,1
方便快捷,1
帮同事买的，听说不错哦,1
还不错啊是正品就是比~上的贵一些,1
0K,1
性价比很突出,1
好好好好好好好好好好好好好好好好好好好好好好好好好好好好吃,1
已到货，儿子很喜欢,1
音质还行,1
安装方便 质量不错,1
给孩子买的，挺喜欢！,1
还行吧挺好的,1
打开一次购买这样的新品，希望体验效果好吧！好贵啊！,1
质量一般般，买了两把玩了一次就都坏了。,1
日常饮品。,1
挺好的，买来给孩子做辅食,1
功能挺多的，价格还不错。反应还挺快的，声音很不错，非常的可爱,1
正品，不错，孩子很喜欢，很划算,1
漂亮漂亮！！！！！！！！！！,1
大蛋英语发音标准，就是有些知识不能马上回答，还有待加强。还不错。,1
发货快，电池容量大，充一次电能用很长时间。,1
给差评，收到货有污点，擦不掉，说是退点款到现在都没退,1
孩子很满意，就是感觉小了点，学生应该买大号,1
质量非常好，买来我的孩子喜欢，包装的也不错，值得五星好评，下次还购买。服务态度也非常的好。,1
好好好好好好好好好好，好好,1
宝贝到了，包装很漂亮，等用过以后再来追评,1
有点轻，但是很容易就自行安装好了，店家还配了安装工具的！,1
小巧精悍，使用方便，占用的空间很小，令我非常满意。,1
真的非常得好很满意，非常的喜欢。,1
不错啊，喜欢开心,1
质量应该还不错，还没使用，不过按照之前的惯例，感觉是不错的,1
没有损坏的，特别好看，开起来亮闪闪的，很有感觉,1
不错，过年回家前充了一下气，车胎确实低了点。不知道气压准不准！,1
不错不错，价格实惠，很经典的耳机升级版,1
不错呀呀呀呀呀呀,1
东西物流很快，使用起来也很方便，是一个不错的东西，值得购买,1
还行。。。。。。。。。。。。。。。。,1
质量不错，孩子有了新朋友喽,1
买了就降了10块，硬盘质量不错，一次点亮,1
品质一如既往的好下次还会选购,1
目前还好 希望快递靠谱一点 不用自己去拿货,1
东西略微有点小！我的实在太大，装不下！,0
东西收到了，送表妹的生日礼物，她很喜欢，说很实用，满意呢，下次再来,1
"在室外试了下，能飞5，6层楼高，每个电池能用5分钟左右，充电没计时，但也挺快的。
小孩很喜欢玩。",1
香皂很不错，气味很不错.,1
双十一特价购入，还可以，还没撑起来。,1
超级帅，拼接过程充满了乐趣，当辽宁号展现在眼前时全家充满了开心的笑声,1
66666666666完美完美完美完美,1
挺不错的，老婆也很喜欢，小礼盒也很精致,1
质量非常好，不起球。不邹，做工精细，穿上很舒服，物流给力非常满意,1
非常好的东西  我家一直在用  可以购买  便宜实惠,1
很大，拼的很爽，汗，准备做个亚克力盒子装起来，客服很优秀,1
音质很棒，送朋友礼物的绝佳选择,1
产品相当好，俩孩子一直在抢，下次买一样的?,1
衣服很贴肤弹性很好,1
IE80S+ ZX300A+线艺匠的平衡线，咋说呢，仿佛在云端~神仙~,1
质量很好  赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞,1
东西不错，目前没有问题，安装起来也非常简单方便，有需要再来买,1
这个不满意，很小个，是我见过的最小的巨无霸,1
好用还不错,1
真的很不错，音质很好，包装和盒子本身都很漂亮。就是物流慢了点（小声嘟嚷）,1
相当好了 ?,1
礼物女朋友已收到，但是她说巧克力不是正品，不好吃,1
好迷你，好可爱，带着出去拍太方便了。很喜欢,1
小巧，智能，简约,1
挺不错的，还能静音！这样就不用影响睡着时候的测量,1
狗#较喜欢，两个毛孩子的新年礼物??,1
到手感觉声音还可以，但是有点闷，期待煲开后的效果,1
不错！！！！！！！！,1
今天收到东东，儿子很是喜欢，小巧可爱的，儿子到家就试飞了！爱不释手哦！,1
不错，再次购买的,1
骑了段时间，很好骑，质量没问题的，继续好评好评好评。,1
媳妇很满意，不错,1
颜色比较喜欢，大小合适，质量挺好的,1
"给爸爸买的。爸爸穿得很合适。
给爸爸买的。爸爸穿得很合适。",1
桌子零件很全   照着说明书很快就安好了   很简单    也很实用   还能调节高低   很赞,1
跟以前比品质有点下降,1
这是第2次买了。这种口味的还不错。,1
用了几天，照相效果和手机质量操作功能都不错,1
短袖收到了，高弹休身的款式不错新款，含棉量高，面料不错，打算约朋友一起再买一件,1
本来要出去玩的，后来又没去，试穿一下，很合适，想去秀秀，,1
三星 Galaxy S9+ 6GB+128GB 谜夜黑 价格比较贵啊。,1
包装完好，质量很好，等用过再评论,1
还可以吧，就是声音有点大其他的都不好,1
非常好用，从宝宝出生一直用这个牌子，没有过敏，很好。,1
都喜欢，哈哈哈哈小孩子抢着玩,1
一直在京东买，值得信赖，送货速度。。。。,1
速度非快，响应迅速。开了三星的加速程序后就跟开了挂一样，推荐购买,1
给孩子买的，一个夏天，用了一段时间了，质量很好，值得信赖,1
"xiezizhiliangfeichanghao,wohengxihuan",1
睡衣面料舒适，做工也细致，价格实惠，感觉入手超值了，后期继续关注店铺。,1
还不错了。,1
好好好哈哈哈哈哈哈哈哈好好好好好好好好好好好好，方便了很多，充电很快，棒棒的,1
，，，，，，，，，，，,1
买给女朋友的 看她戴上玩的不亦乐乎 笑的那个开心,1
很好，还没下水试过，应该孩子会喜欢。,1
还没吃，看着还不错。,1
给爷爷买的！老人家说挺方便的！！！一下就会了,1
京东送货就是快，商品不错，购物体验完美,1
卖家服务不满意,1
很不错的，也很方便，字也是按要求刻的,1
老婆很喜欢，玩起来很可爱。质量摸着不错,1
当电视用的，画面清晰，物超所值！,1
挺好的，京东送货就是快。,1
宝贝非常的棒，作为新手，有问题请教卖家，总是耐心回复！！赞赞赞！！,1
送喜欢的人的，她说满满少女心，哈哈，不过送人可以,1
售后服务差到极致，窝火,0
太好了,1
很好，小朋友们很喜欢，下次继续,1
宝贝收到了，噪音有点大。其他的都还可以,1
泳衣收到了，很不错，穿起来很舒服。也很好看，很满意。,1
物流很快，质量很好，值得信赖，值得购买，感谢京东，还会购买，商品很满意。,1
比较性感，和介绍的一样,1
特别好，京东有保证。推荐购买,1
挺好的，买了2张,1
一般货，感觉质量不算是那么好,1
我家猫咪不爱睡,0
厂家很信用，我两个灯罩子一样艳色，又给我重新一个,1
码子正合适，质量很好，价格不贵。,1
很好，速度棒棒的，性价比也棒棒的，完全把超市替代了,1
看着挺不错，这个价格应该还可以吧，物流挺快。给个好评。,1
小孩子挺喜欢的！还不错哦,1
洗蔬菜洗的很干净，大冬天的也不怕手冷了,1
很好很好东西不错值得购买,1
货收到马上试一下能动，拿轮胎打气再评。,1
显示确实不如ips屏色彩还原度高，不过明基的屏品控好，买的放心，看着确实也不累，整体点赞,1
很可爱，宝宝第一眼就被吸引了,1
简便实用，还不错,1
很暖和，很喜欢,1
挺好的不错不错&hellip;&hellip;,1
特别好 很舒服 特别喜欢，已经推荐朋友了！,1
还没用 用后评价,1
非常好，真不错，功能太强大了,1
手感非常舒服，反馈很清晰,1
挺好用的。喜欢,1
相信京东，速度快，服务好。,1
还可以呢,1
看起来很不错，第一次用服务器倒是有点儿折腾。,1
质量挺好的，送货速度很快，安装也比较方便，家里地方小，买个折叠的比较实用，如果有活动就更好了,1
面料很好，收到洗好，当晚就可以穿了，很舒服，大小正合适吧,1
上身不错,1
包装不错，东西也挺好的，送礼不错,1
和图上一样，商品颜色也没有色差，灯光也柔和，从外看着不刺眼，家人也都挺喜欢,1
衣服收到了，面料摸起来还挺舒服的，还可以,1
挺好的，不过电量用的太快了，平均两天用充一次电，够用了,1
简单好用，声音不大，打印清晰，价格合适，家用挺好的方便。,1
第一次买树莓派，暂时没有问题。,1
长痘了抹一点，第二天立刻见效，国货神器,1
经济实惠，包装好，送货及时。,1
非常的，值得好评，店家的服务态度非常的棒。,1
还可以不错呀，znnznz,1
非常棒，手机连接简单，立刻试用了打印复印和扫描，感觉很好，把孩子的画作直接扫描存档了。,1
电话预约送货，直接搬到二楼，服务非常好，非常感谢,1
货收到了，质量好，商家态度好，送了好几个小礼品，,1
好东西非常不错还会购买,1
车车收到了！以装好！还没骑！不错不错,1
很棒，让人感动的声音。,1
很容易组装的不错，发货迅速,1
帮同事买的，还错用,1
性价比不错，重量轻速度快配置强大，使用起来感觉不错,1
按摩很舒服，就是暖脚的效果一般，好评,1
不错，很满意，鱼缸好用,1
布料很好，穿的挺舒服的！,1
功能强大，价格实惠，非常好的商品，一次买了两个,1
轻便，易存放,1
这个好用，老笔记本复活了。,1
京东自营，品质放心。,1
煲一下就好，很惊喜。解析度很强。,1
"单车自己组装的,体验一下 比想象中的要完美 给好评",1
充电速度快，方便，很好用，推荐购买,1
价格便宜，看啦好长时间，这次优惠大,1
一般般吧，就是声音太大了。没有多大劲感觉！便宜没好货吧,1
"特别好，先服务特别特别好一直帮助你 需要什么就问他们
都特别好",1
特别好用，但是一定要对准了，不然破坏力也是非常强！！,1
还行行行行行行行行行行行。,1
很性感,1
宝贝到了，觉得还可以下次还来。,1
米小兔样子蛮可爱的 不错不错 物流也很快 吧吧吧吧吧,1
巴菲特在我们自己身边的时候一定很有魅力啦&hellip;&hellip;在,1
????GoPro 运动相机配件 双冲 双电池充电器 + 电池,1
不错不错，七夕礼物，老婆很喜欢，窝心暖心，赞一个！,1
不好用！只能用半天！！！！！！！！@子！！,1
第二次购买了，满满的蟹黄，非常满意！全5分。吃完再来买。,1
虽然价格很便宜，但是质量不错，对得起这个价格。,1
还可以，质量也不错,1
wifi输入完账号密码后，点确定。窗口关闭，然后就没反应了。连不上wifi,1
非常好，就是我想要的，给女朋友买的，质量好,1
发货速度快，包装很好，用着很舒服，买过好几次了，已经帮别人购入的,1
很好用，不错的。,1
步步华特特特塔读肚肚疼对不1替补5部辣条了同乐同乐特价他特价,1
衣服收到了，物流很快，衣服的质量不错，摸在手上很舒服，还是纯棉的，下次还会复购的,1
可以，我们的喜欢。,1
给孩子买来玩的，逗逗乐，在水里游不动。,1
简单好用,1
挺好的，宝宝很喜欢，物流很快,1
京东品质很好，支持支持啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1
可爱的兔兔，怎么不分男女款，有点单调了，质量有待检验，送货,1
禧美 三文鱼切段 （大西洋鲑鱼）200g/袋 1块,1
